Data info
File name: D:\Documents\Uni\Tesi\ConditionPanda\Scripts\AutomationData\LattePanda20210314144404.dxd
Start time: 3/14/2021 14:44:06.108
Number of channels: 1
Sample rate: 20000
Store type: fast on trigger
Post time: 10000


Data1

Time (s),AI 1 -  (m/s2)
5.2522,0.027774287
5.25225,0.029082259
5.2523,0.025984427
5.25235,0.021512652
5.2524,0.012273653
5.25245,-0.0043485099
5.2525,-0.011344448
5.25255,-0.02243354
5.2526,-0.02875828
5.25265,-0.030410456
5.2527,-0.028135845
5.25275,-0.028961932
5.2528,-0.022843715
5.25285,-0.016481686
5.2529,-0.01130429
5.25295,-0.0066833571
5.253,-0.012824523
5.25305,-0.017304905
5.2531,-0.021931576
5.25315,-0.028821383
5.2532,-0.023787407
5.25325,-0.023216601
5.2533,-0.01848954
5.25335,-0.013157252
5.2534,-0.0052979384
5.25345,-0.00032419679
5.2535,0.0013853475
5.25355,-0.00017504192
5.2536,-0.0074320007
5.25365,-0.011117847
5.2537,-0.014032104
5.25375,-0.012718393
5.2538,-0.0083785597
5.25385,-0.0040788841
5.2539,0.0033300978
5.25395,0.0088488273
5.254,0.0054469495
5.25405,0.0015201607
5.2541,-0.00070855743
5.25415,-0.0014744103
5.2542,-0.0010556293
5.25425,0.0029572104
5.2543,0.0014226362
5.25435,0.0032985457
5.2544,0.0064049829
5.25445,0.0082866289
5.2545,0.014054907
5.25455,0.016949086
5.2546,0.021937167
5.25465,0.025852485
5.2547,0.03024108
5.25475,0.033399146
5.2548,0.032604609
5.25485,0.024226123
5.2549,0.015569402
5.25495,0.0096978638
5.255,0.0071765725
5.25505,0.0041906065
5.2551,0.00079159637
5.25515,-0.0048504737
5.2552,-0.0070648501
5.25525,-0.014155443
5.2553,-0.02299287
5.25535,-0.028795566
5.2554,-0.035691112
5.25545,-0.043713924
5.2555,-0.049115054
5.25555,-0.048567194
5.2556,-0.048435252
5.25565,-0.04907776
5.2557,-0.049094971
5.25575,-0.047984917
5.2558,-0.046811756
5.25585,-0.040782455
5.2559,-0.030918157
5.25595,-0.019917984
5.256,-0.015506443
5.25605,-0.012029986
5.2561,-0.0089952582
5.25615,-0.008963706
5.2562,-0.012379927
5.25625,-0.015036031
5.2563,-0.018099442
5.25635,-0.015692886
5.2564,-0.014866797
5.25645,-0.013788292
5.2565,-0.0070103509
5.25655,-0.0059261099
5.2566,-0.0079196217
5.25665,-0.011244055
5.2567,-0.019284075
5.25675,-0.022688823
5.2568,-0.027932189
5.25685,-0.031250887
5.2569,-0.027699852
5.25695,-0.026888108
